,host_response_rate,host_acceptance_rate,price,availability_365,number_of_reviews,review_scores_cleanliness,review_scores_communication,review_scores_location,reviews_per_month,room_type
10178,94.5,91.5,1350.0,0,2.0,5.0,5.0,5.0,0.06,Entire home/apt
10179,94.5,91.5,1600.0,0,2.0,4.5,5.0,5.0,0.06,Entire home/apt
10180,99.0,99.0,1144.0,120,20.2,4.9,4.9,4.98,1.4,Entire home/apt
10181,99.0,99.0,1633.0,120,20.2,4.84,4.85,4.95,1.4,Entire home/apt
10182,100.0,91.5,224.0,365,0.0,4.7,4.8,4.8,1.7,Shared room
10183,100.0,99.0,420.0,360,97.0,4.79,4.71,4.89,3.44,Private room
10184,98.6,97.3,878.0,301,2.0,5.0,5.0,4.5,0.06,Entire home/apt
10185,100.0,100.0,1074.0,333,33.0,4.79,4.76,4.97,1.75,Entire home/apt
10186,100.0,97.0,650.0,364,24.0,5.0,4.96,4.96,0.77,Private room
10187,100.0,100.0,1372.0,365,51.0,4.84,4.82,4.9,1.64,Entire home/apt
10188,94.5,100.0,1899.0,211,0.0,4.7,4.8,4.8,1.7,Entire home/apt
10189,100.0,100.0,436.0,360,37.0,4.95,5.0,4.97,1.19,Private room
10190,94.5,97.3,950.0,365,1.0,4.8,4.9,4.9,0.03,Entire home/apt
10191,100.0,100.0,359.0,78,20.2,4.93,4.94,4.84,1.4,Private room
10192,100.0,100.0,806.0,259,3.0,5.0,5.0,5.0,1.7,Entire home/apt
10193,100.0,92.0,2900.0,257,32.0,4.97,4.97,4.94,1.2,Entire home/apt
10194,100.0,100.0,2238.0,361,20.2,4.9,4.88,4.98,4.36,Entire home/apt
10195,100.0,100.0,1217.0,61,52.0,4.81,4.94,5.0,1.67,Entire home/apt
10196,100.0,100.0,1062.7,355,10.0,4.7,4.9,4.9,0.33,Private room
10197,100.0,100.0,3000.0,354,4.0,4.75,4.9,4.75,0.13,Private room
10198,100.0,99.0,629.0,96,71.0,4.97,4.99,4.96,2.27,Private room
10199,94.5,97.3,3000.0,180,0.0,4.7,4.8,4.8,1.7,Entire home/apt
